date,time,location,operator,aboard,fatalities,f rate
2-Feb-49,16:00,"Trinity Bay, Newfoundland",Saint Lawrence Airways,10,6,0.6
4-Feb-49,?,"Castel Benito, Libya",Skyways of London,53,1,0.018867925
5-Feb-49,?,"Buenaventura Bay, Colombia",AVIANCA,14,3,0.214285714
8-Feb-49,19:56,"Off Copenhagen, Denmark",Scandinavian Airlines (SAS),27,27,1
10-Feb-49,?,"Near Huanuco, Peru",Faucett,16,16,1
19-Feb-49,9:45,"Near Coventry, Warks, England",British European Airways / Military - British,14,14,1
24-Feb-49,8:00,"Near Cuzco, Peru",TAM (Peru),26,22,0.846153846
24-Feb-49,11:00,"Braemar Resevoir, Hong Kong",Cathay Pacific Airways,23,23,1
10-Mar-49,9:50,"Coolangatta, Australia",Queensland Airlines,22,22,1
15-Mar-49,?,"Berlin, Germany",Skyways,3,3,1
18-Mar-49,9:40,"Near Waikanae, New Zealand",New Zealand National Airways,15,15,1
29-Apr-49,12:20,"Near Mironovo, Russia",Aeroflot,24,14,0.583333333
4-May-49,17:04,"Superga, Italy",Avio Linee Italiane,31,31,1
4-May-49,12:10,"Near Portland, Dorset, England",Bristop Aeroplane Company,7,7,1
7-May-49,16:00,"Sibuyan Sea, off the Philippine island of Elalat",Philippine Air Lines,13,13,1
13-May-49,14:10,"Near  Novosibirsk, Russia",Aeroflot,25,25,1
6-Jun-49,19:00,"Malahasa Attica, Greece",Tech - Aeronautical Explotiation,22,22,1
7-Jun-49,14:00,"Near Florianpolis, Brazil",Military - Brazilian Air Force,27,27,1
7-Jun-49,0:25,"San Juan, Puerto Rico",Strato Freight,81,53,0.654320988
23-Jun-49,10:55,"Off Bari, Italy",KLM Royal Dutch Airlines,33,33,1
2-Jul-49,2:15,"Near Guildford, Australia",Mac Roberston-Miller Airlines,18,18,1
12-Jul-49,7:43,"Chatsworth, California",Standard Airlines,48,35,0.729166667
12-Jul-49,03:50Z,"Near Bombay, India",KLM Royal Dutch Airlines,45,45,1
13-Jul-49,?,"Jamnagar, Gujarat state, India",Indian Air Force,0,0,#DIV/0!
19-Jul-49,21:01,"Seattle, Washington",Air Transport Associates,32,2,0.0625
21-Jul-49,11:35,"Marga, Russia",Aeroflot,14,13,0.928571429
30-Jul-49,10:45,"Chesterfield, New Jersey",Eastern Air Lines / Military - USN,16,16,1
2-Aug-49,c 11:30,"Jaquirana, Brazil",Varig,36,5,0.138888889
3-Aug-49,?,"Sao Francisco Bay, Brazil",Lineas Aéreas Brasil,30,5,0.166666667
6-Aug-49,?,"Salasaca, Ecuador",Shell Co of Ecuador,34,34,1
9-Aug-49,?,"Salalah, Oman",Military - Royal Air Force,12,12,1
13-Aug-49,13:30,"Near Bogota, Colombia",SAETA,32,32,1
15-Aug-49,3:40,"Off Lurga Point, Ireland",Transocean Air Lines,58,8,0.137931034
19-Aug-49,13:02,"Near Oldham, England",British European Airways,32,24,0.75
21-Aug-49,23:30,"Near Bigstone Lake, Manitoba",Military - Royal Canadian Air Force,21,21,1
27-Aug-49,8:00,"Leopoldville, Zaire",Sabena,20,5,0.25
9-Sep-49,10:45,"Sault-aux-Cochons, PQ, Canada",Canadian Pacific Air Lines,23,23,1
26-Sep-49,13:30,"Mt. Popocatepetl, Mexico",Mexicana,24,24,1
27-Sep-49,?,"Near Castilla, Argentina",Flota Aérea Mercante Argentina,27,5,0.185185185
9-Oct-49,?,"Cheyenne, Wyoming",Slick Airways,4,4,1
28-Oct-49,c 02:50,"San Miguel Island, Azores",Air France,48,48,1
1-Nov-49,c 11:45,"Arlington, Virginia",Eastern Air Lines / Military - Bolivian Air Force,55,55,1
4-Nov-49,21:34,"Akron, Ohio",Harrington's Inc,3,3,1
16-Nov-49,?,"Calcutta, India",Royal Indian Air Force,2,1,0.5
20-Nov-49,16:56,"Near Oslo, Norway",Aero Holland,35,34,0.971428571
26-Nov-49,12:00,"Near Bucaramanga, Colombia",LANSA,12,12,1
29-Nov-49,5:49,"Dallas, Texas",American Airlines,46,28,0.608695652
29-Nov-49,16:45,"Chaleyssin, France",Air France,38,5,0.131578947
1-Dec-49,19:00,"Taquaracucu, Brazil",REAL,22,20,0.909090909
7-Dec-49,17:15,"Vallejo, California",Arrow Airlines,9,9,1
9-Dec-49,?,"Near Lanchow, China",Civil Air Transport,38,38,1
10-Dec-49,?,"Near Hoikow, China",Civil Air Transport,40,17,0.425
12-Dec-49,20:45,"Washington, D.C.",Capital Airlines,23,6,0.260869565
12-Dec-49,21:51,"Jungshahi, Pakistan",Pakair,26,26,1
16-Dec-49,6:00,"Orizaba, Mexico",Mexicana,17,17,1
18-Dec-49,20:30,"Aulnay-sous-Bois, France",Sabena,8,8,1
30-Dec-49,?,"Comilla, Pakistan",Bharat Airways,7,7,1
5-Jan-50,?,"Sverdlovsk, Russia",Military - Soviet Air Force,19,19,1
18-Jan-50,?,"Albacete, Spain",Ejercito del Aire,16,16,1
20-Jan-50,1200,"Near Vacas, Bolivia",Military - Bolivian Air Force,32,32,1
24-Jan-50,?,"Near Tamatave, Madagascar",Societe Transatlantique Aerienne,14,14,1
24-Jan-50,?,"Iloilo,Philippines",Philippine Air Lines,4,4,1
26-Jan-50,1409,"Near Snag, Yukon Territory",Military - U.S. Air Force,44,44,1
2-Feb-50,445,North Sea,KLM Royal Dutch Airlines,7,7,1
27-Feb-50,731,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,30,5,0.166666667
7-Mar-50,2059,"Minneapolis, Minnesota",Northwest Orient Airlines,13,13,1
10-Mar-50,?,"Saigon, Vietnam",Societe Indochinoise de Transport Aeriens,4,4,1
12-Mar-50,1450,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,83,80,0.963855422
25-Mar-50,?,"Ankara, Turkey",Devlet Hava Yollairi,15,15,1
28-Mar-50,1730,"Off Cap-Ferret, France",SEMAF,12,12,1
5-Apr-50,356,"Hatiara, India",Deccan Airways,3,3,1
13-Apr-50,?,"Near Hastings, England",British European Airways,32,0,0
15-Apr-50,1700,"Santa Ana, Colombia",Lineas Aéreas Nacionales,4,2,0.5
21-Apr-50,2325,"Near Atsugi, Japan",Military - U.S. Air Force,35,35,1
2-May-50,?,"Chimborazo, Ecuador",AVIANCA,15,15,1
18-May-50,2059,"Lagens Air Force Base, Azores",Military - U.S. Air Force,16,16,1
23-May-50,1020,"Myrtle Beach, South Carolina",Military - U.S. Air Force,39,39,1
24-May-50,?,"Near Pasto, Colombia",LANSA,27,26,0.962962963
27-May-50,1729,"Teterboro, New Jersey",Regina Cargo Airlines,2,1,0.5
30-May-50,?,"Near Ilheus, Brazil",Aerovias Brasil,15,13,0.866666667
5-Jun-50,2203,Atlantic Ocean off Florida,Westair Transport,65,28,0.430769231
9-Jun-50,1900,"Near Fonseca, Colombia",New Tribes Mission,15,15,1
13-Jun-50,116,Off Bahrain,Air France,52,46,0.884615385
14-Jun-50,153,Bahrain,Air France,53,40,0.754716981
15-Jun-50,153,"Bahrain, Bahrain",Air France,53,40,0.754716981
23-Jun-50,2325,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,58,58,1
26-Jun-50,2300,"York, Australia",Ansett ANA,29,29,1
7-Jul-50,?,"Busan, South Korea",Military - U.S. Air Force,23,23,1
9-Jul-50,130,"Casablanca, Morocco",Aigle Azur,29,22,0.75862069
17-Jul-50,?,"Near Pathankot, India",Indian National Airlines,22,22,1
18-Jul-50,?,"Near Bocoio, Angola",DTA Angola Airlines,9,9,1
23-Jul-50,1022,"Myrtle Beach, North Carolina",Military - U.S. Air Force,39,39,1
27-Jul-50,430,"Off O-shima Island, Japan",Military - U.S. Air Force,26,25,0.961538462
28-Jul-50,1925,"Porte Alegre, Brazil",Panair do Brasil,50,50,1
29-Jul-50,300,"Tunbukta, Algeria",Cie Air Transport,26,26,1
30-Jul-50,1300,"Algrete, Brazil","SAVG (S.A. Viacao Gaucha, )
SAVG",12,12,1
30-Jul-50,544,"Karaganda, Russia",Aeroflot,25,25,1
5-Aug-50,2200,"Near Fairfield, California",Military - U.S. Air Force,20,12,0.6
22-Aug-50,237,"Near Eagle, Colorado",American Airlines,59,1,0.016949153
25-Aug-50,?,"Kampong Jenera, Malaysia",Military - Royal Air Force,12,12,1
31-Aug-50,203,"Near Wadi Natrun, Egypt",Trans World Airlines,55,55,1
4-Sep-50,1410,"Utica, New York",Robinson Airlines,23,16,0.695652174
14-Sep-50,?,"Tehran, Iran",Iran Air,8,8,1
20-Sep-50,520,"Kwajalein, Marshall Islands",Military - U.S. Navy,26,26,1
21-Sep-50,?,"Near Zagreb, Yugoslavia",JAT Yugoslav Airlines,11,10,0.909090909
23-Sep-50,1400,"Karlstad, Sweden",Svenska Aero,10,10,1
26-Sep-50,425,"Near Kyushu Island, Japan",Military - U.S. Air Force,51,23,0.450980392
13-Oct-50,740,"Casablanca, Morocco",Air Atlas,7,4,0.571428571
13-Oct-50,1049,"Almelund, Minnisota",Northwest Orient Airlines,6,6,1
17-Oct-50,1545,"London, England",British European Airways,29,28,0.965517241
31-Oct-50,1954,"London Heathrow, England",British European Airways,30,28,0.933333333
3-Nov-50,943,"Mont Blanc, France",Air India,48,48,1
7-Nov-50,815,"Near Butte, Montana",Northwest Orient Airlines,21,21,1
13-Nov-50,1800,"Mt.  Tete de L'Obiou, France",Curtiss-Reid Flying Services Ltd. (Canada),58,58,1
17-Nov-50,?,"Surabaya, Indonesia",Garuda Indonesia Airlines,23,2,0.086956522
21-Nov-50,1750,"Near Moran Junction, Wyoming",New Tribes Mission,21,21,1
23-Nov-50,?,"Cuzco, Peru",Faucett,9,9,1
25-Nov-50,?,"Khitka, Bhutan",Indamer,3,3,1
1-Dec-50,?,"Near Chamaran, Iran",Iran Air,8,8,1
8-Dec-50,1937,"Bangui, French Equatorial Africa",T.A. Intercontinentaux,56,46,0.821428571
9-Dec-50,?,"Ruig Piner, France",Air Atlas,7,5,0.714285714
13-Dec-50,?,"Katagiri, India",Air India,21,21,1
13-Dec-50,1330,"Londrina, Brazil",VASP,31,0,0
14-Dec-50,910,"Ribeirao, Brazil",VASP,20,1,0.05
15-Dec-50,1330,"Valera, Venezuela",Avensa,31,31,1
19-Dec-50,730,"Near Baguio, Philippines",Military - U.S. Air Force,38,38,1
22-Dec-50,1353,"Penticton, British Columbia, Canada",Canadian Pacific Air Lines,18,2,0.111111111
30-Dec-50,2209,"Santiago del Estado, Argentina",Aerolineas Argentinas,18,17,0.944444444
12-Jan-51,1450,"Ixopo, South Africa",United Airways,12,12,1
13-Jan-51,?,"Mt. Bukit, Besar,Thailand",Air Carriers,10,10,1
14-Jan-51,1413,"Philadelphia, Pennsylvania",National Airlines,28,7,0.25
16-Jan-51,1214,"Near Reardan, Washington",Northwest Orient Airlines,10,10,1
17-Jan-51,1436,"Near Civitavecchia, Italy",Alitalia,17,14,0.823529412
20-Jan-51,?,"Huilyo, Peru",Military - TAM,?,16,#VALUE!
28-Jan-51,840,"Near An tung, Taiwan",Military -Royal Air Force,14,14,1
31-Jan-51,1645,"Off Hafnarfjorour, Iceland",Icelandair,20,20,1
1-Feb-51,?,"Off Terceira, Portugal",Military - Portuguese Air Force,14,14,1
3-Feb-51,1430,"Near Mt. Cameroon, Buea, British Cameroons",Air France,29,29,1
14-Feb-51,?,"Yali, Colombia",Lineas Aéreas Nacionales,2,2,1
2-Mar-51,912,"Sioux City, Iowa",Mid Continent Airlines,25,16,0.64
11-Mar-51,?,"Mt. Butler, Hong Kong",Pacific Overseas Airways,24,24,1
21-Mar-51,1720,"Corozal, Colombia",LANSA,29,29,1
22-Mar-51,1730,"Off Florianopolis, Brazil",Cruzeiro,14,3,0.214285714
23-Mar-51,50,Over the North Atlantic,Military - U.S. Air Force,53,53,1
25-Mar-51,442," Irkutsk, Russia",Aeroflot,13,12,0.923076923
26-Mar-51,?,"Rio Grande, Argentina",Aerolineas Argentinas,24,11,0.458333333
27-Mar-51,?,"Manchester, England",Air Transport Charter,3,2,0.666666667
2-Apr-51,?,"Bogota, Colombia",AVIANCA,26,26,1
6-Apr-51,2030,"Refugio Pass, near Santa Barbara, California",Southwest Airways,22,22,1
8-Apr-51,1135,"Near Charleston, West Virginia",Military - U.S. Air Force,21,21,1
9-Apr-51,?,"Cape d'Arguilar, Hong Kong",Siamese Airways,16,16,1
25-Apr-51,1149,"Key West, Florida",Cubana de Aviacion / Military -  US Navy,43,43,1
28-Apr-51,1932,"Fort Wayne, Indiana",United Air Lines,11,11,1
6-May-51,1230,"Near Albuquerque, New Mexico",Military - U.S. Air Force,25,23,0.92
8-May-51,1412,"Bordeaux, France",Hunting Air Travel,32,2,0.0625
18-May-51,1910,"Rancharia,  Brazil",VASP,7,7,1
3-Jun-51,1345,"New Boston, Texas",Military - U.S. Air Force,10,10,1
6-Jun-51,1740,"Rio de Janeiro, Brazil",Lineas Aéreas Trans. Brasileira,19,2,0.105263158
13-Jun-51,600,"Medellin, Colombia",Sociedad Aeronautica Medellin,3,3,1
22-Jun-51,325,"Near Sanoyea, Liberia",Pan American World Airways,40,40,1
29-Jun-51,?,"Near Rijeka, Yugoslavia",JAT Yugoslav Airlines,14,14,1
30-Jun-51,200,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",United Air Lines,50,50,1
12-Jul-51,2245,"Lyneham AFB, England",Military - Royal Air Force,10,10,1
12-Jul-51,?,"Near Tezpur, India",Indamer,3,3,1
12-Jul-51,?,"Aracaju, Brazil",Loide Aereo Nacional,33,33,1
16-Jul-51,907,"Off Lae, New Guinea",Qantas,7,7,1
20-Jul-51,?,"Thudamot, China",Air Outre-Mer,3,3,1
21-Jul-51,2255,"Near Sitka, Alaska",Canadian Pacific Air Lines,37,37,1
24-Jul-51,545,"Gao, Mali",Sabena,3,3,1
29-Jul-51,?,"Cochabamba, Bolivia",Loide Aéreo Nacional,7,7,1
8-Aug-51,2100,"Barilla Bay, Australia",Trans Australia Airlines,2,2,1
11-Aug-51,925,"Moisville, France",Air France,5,5,1
17-Aug-51,?,"Ubatuba, Brazil",REAL,10,10,1
24-Aug-51,428,"Decoto, California",United Air Lines,50,50,1
8-Sep-51,1900,"Sao Paulo, Brazil",VASP,13,13,1
12-Sep-51,1230,"Off Ialas Baeares, Spain",Societe Alpes Provence,39,39,1
12-Sep-51,1146,"Off Redwood City, California",United Air Lines,3,3,1
15-Sep-51,?,"Bangalore, India",Air India,28,22,0.785714286
27-Sep-51,?,Near Tachikawa Air Base,Military - US Air Force,14,14,1
29-Sep-51,?,"La Paz, Bolivia",Frigorifico Cooperativo Los Andes,27,27,1
8-Oct-51,?,"Cerro Blanco, Mexico",Aero Transportes,8,8,1
15-Oct-51,?,"East Griqualand, South Africa",South African Airways,17,17,1
15-Oct-51,?,North Atlantic,Military - U.S. Air Force,12,12,1
17-Oct-51,1855,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,23,23,1
22-Oct-51,?,"Skopje, Yugoslavia",JAT Yugoslav Airlines,12,12,1
27-Oct-51,1900,"Near Flores, Guatemala",Military - Guatemalan Air Force,29,27,0.931034483
5-Nov-51,929,"Near Tucumcari, New Mexico",Transocean Air Lines,29,1,0.034482759
13-Nov-51,1300,"Puy-de-Dôme, France",Military - U. S. Air Force,36,36,1
15-Nov-51,900,"Near Lodz, Poland",LOT Polish Airlines,18,18,1
17-Nov-51,1623,"Near  Novosibirsk, Russia",Aeroflot,23,23,1
19-Nov-51,?,"Cairo, Egypt",Devlet Hava Yollari,5,5,1
21-Nov-51,745,"Calcutta, India",Deccan Airways,17,16,0.941176471
24-Nov-51,600,"Zurich, Switzerland",El Al,7,6,0.857142857
27-Nov-51,?,"San Luis Acatlan, Mexico",Lineas Aereas Unidas,21,13,0.619047619
4-Dec-51,725,"Denver, Colorado",United Air Lines,3,3,1
13-Dec-51,?,"Yaramunda, Papua, New Guinea",Qantas,3,3,1
16-Dec-51,1509,"Elizabeth, New Jersey",Miami Airlines,56,56,1
23-Dec-51,?,"Tehran, Iran",Misrair,22,22,1
27-Dec-51,426,"Near Namtso, Russia",Aeroflot,20,20,1
29-Dec-51,2225,"Near Little Valley, New York",Continental Charters,40,26,0.65
30-Dec-51,2207,"Near Fairbanks, Alaska",Transocean Air Lines,4,4,1
30-Dec-51,1540,"Near Phoenix, Arizona",Military - U.S. Air Force,28,28,1
31-Dec-51,?,"Calcutta, India",Kalinga Airlines,3,3,1
2-Jan-52,?,"Andapa, Madagascar",Air France,11,6,0.545454545
10-Jan-52,19:15,"Com Edno, Ireland",Aer Lingus,23,23,1
19-Jan-52,1:38,"Off Sandspit, BC, Canada",Northwest Orient Airlines,43,36,0.837209302
22-Jan-52,15:43,"Elizabeth, New Jersey",American Airlines,23,23,1
4-Feb-52,?,"Kikwit, Belgian Congo",Sabena,15,15,1
7-Feb-52,?,"Kaneko, Japan",Military - U.S. Air Force,13,13,1
11-Feb-52,0:20,"Elizabeth, New Jersey",National Airlines,63,29,0.46031746
16-Feb-52,17:34Z,"Near Burgio, Italy",Hunting Air Travel,31,31,1
19-Feb-52,2:23,"Nagpur, India",Deccan Airways,16,3,0.1875
19-Feb-52,?,"Near Yaounde, Cameroon",STAAP,9,9,1
28-Feb-52,?,"Uberlandia,  Brazil",Panair do Brasil,8,8,1
3-Mar-52,8:10,"Nice, France",Air France,38,38,1
10-Mar-52,?,"Cebu, Philippines",Philippine Air Lines,3,3,1
12-Mar-52,?,"Near Sequin, Texas",Military - U.S. Air Force / U.S. Air Force,15,15,1
22-Mar-52,14:00,"Near Gaspe, Quebec, Canada",Maritime Central Airways,4,4,1
22-Mar-52,10:45,"Frankfurt, Germany",KLM Royal Dutch Airlines,47,45,0.957446809
24-Mar-52,3:10,"Near Gao, French West Africa",Société Aérienne de Tr. Tropicaux,21,17,0.80952381
26-Mar-52,?,"Moscow, Russia",Aeroflot,70,70,1
29-Mar-52,?,"Near San Felipe, Venezuela",TACA,12,12,1
30-Mar-52,?,"Baguio, Philippines",Philippine Air Lines,29,10,0.344827586
5-Apr-52,8:25,"New York, New York",US Airlines,2,2,1
9-Apr-52,8:07,"Mihara Volcano, Japan",Japan Air Lines,37,37,1
10-Apr-52,?,"Agartala, India",Kalinga Airlines,4,4,1
11-Apr-52,12:20,"North of San Juan, Puerto Rico",Pan American World Airways,69,52,0.753623188
18-Apr-52,3:34,"Near Whittier, California",North Continental Airlines (Robin Airlines),29,29,1
29-Apr-52,4:40,"Near Carolina, Brazil",Pan American World Airways,50,50,1
30-Apr-52,?,"Delhi,  India",Deccan Airways,9,9,1
5-May-52,?,"Near Skien, Norway",Fred Olsen Flyveselskap,29,11,0.379310345
9-May-52,?,"Ipoh, Malaysia",Garuda Indonesia Airlines,17,17,1
13-May-52,?,"Sao Paulo, Brazil",VASP,22,5,0.227272727
24-May-52,?,"Near Manaus, Brazil",Loide Aéreo Nacional,6,6,1
26-May-52,8:45,"Near Atar, Mauritania",British Overseas Airways,18,1,0.055555556
13-Jun-52,11:29,Baltic Sea,Swedish Air Force,8,8,1
14-Jun-52,949,"Near Brighton, East Sussex, England",Morton Air Services,8,6,0.75
24-Jun-52,?,"Lakenheath AFB, England",Military - U.S. Air Force,11,11,1
25-Jun-52,?,"Off Northumberland, North Sea",Military - Royal Air Force,13,11,0.846153846
18-Jul-52,0:00,"Whiting Field, near Milton, Florida",Military - Navy,46,41,0.891304348
27-Jul-52,11:46,"Off Rio de Janeiro, Brazil",Pan American World Airways,27,1,0.037037037
12-Aug-52,?,"Palmeira de Goias, Brazil",Transportes Areos Nacionales,24,24,1
21-Aug-52,01:00Z,"Off Trapani, Italy",Airwork,57,7,0.122807018
26-Aug-52,7:00,"Near Khewra, West Pakistan",Military - Pakistan Air Force,18,18,1
29-Aug-52,21:05,"Kosti, Sudan",Phoenix Airlines,4,2,0.5
6-Sep-52,15:40,"Near Farnsborough, England",Private - de Havilland Aircraft,1,1,1
10-Sep-52,?,"San Blas, Panama",SAM Colombia,46,46,1
15-Sep-52,?,"Wadi Halfa, Sudan",Kalinga Airlines,3,3,1
5-Oct-52,16:02,"Skvoritsy, Russia",Aeroflot,21,21,1
8-Oct-52,?,"Off Tarbat Ness, Scotland",Military - Royal Air Force,14,14,1
14-Oct-52,?,"San Fransisco do Paula, Brazil",Aero Brasil,28,14,0.5
16-Oct-52,?,"Off Kangnung, South Korea",Military - U.S. Air Force,25,25,1
29-Oct-52,8:30,"Near Flagstaff, Arizona",Military - U.S. Air Force,16,16,1
6-Nov-52,?,"Lake Chad, Chad",Union Aeromaritime de Transport,6,5,0.833333333
7-Nov-52,3:00,"Near Summit, Alaska",Military - U.S. Air Force,19,19,1
14-Nov-52,14:45,"Near Seoul, South Korea",Military - U.S. Air Force,44,44,1
15-Nov-52,?,"Near Anchorage, Alaska",Military - U.S. Air Force,20,20,1
17-Nov-52,?,"Shepard, Montana",Military - U.S. Air Force,16,9,0.5625
22-Nov-52,c 20:15,"Mount Gannett, Alaska",Military - U.S. Air Force,52,52,1
28-Nov-52,0:50,"Near Tacoma, Washington",Military - U.S. Air Force,38,37,0.973684211
6-Dec-52,?,"Near Sofia, Bugaria",TABSO,18,18,1
6-Dec-52,4:40,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,41,37,0.902439024
20-Dec-52,c 06:30,"Moses Lake, Washington",Military - U.S. Air Force,115,87,0.756521739
21-Dec-52,?,"Off Miami, Florida",Rutas Aéreas Nacionales SA,3,3,1
22-Dec-52,?,"Damascus, Syria",Syrian Air,?,9,#VALUE!
25-Dec-52,?,"Off Caracas, Venezuela",Avensa,5,3,0.6
25-Dec-52,?,"Tehran, Iran",Iran Air,29,27,0.931034483
30-Dec-52,?,"Chinmen Island, Taiwan",Philippine Air Lines,10,2,0.2
5-Jan-53,2139,"Belfast, Northern Ireland",British European Airways,35,27,0.771428571
7-Jan-53,2055,"Issaquah, Washington",Flying Tiger Line,7,7,1
7-Jan-53,412,"Fish Haven, Idaho",Associated Air Transport,40,40,1
15-Jan-53,448,"25 nm off Agrigento, Italy",Military -Royal Air Force,26,26,1
26-Jan-53,1144,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,19,19,1
2-Feb-53,530,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),39,39,1
3-Feb-53,?,"Lai Chau, Vietnam",Air Outremer,18,18,1
7-Feb-53,1028,"Bordeaux, France",UTA,19,9,0.473684211
9-Feb-53,1900,"Cairo, Egypt",Military - Egyptian Air Force,40,29,0.725
14-Feb-53,1710,"Off Mobile, Alabama",National Airlines,46,46,1
3-Mar-53,335,"Karachi, Pakistan",Canadian Pacific Air Lines,11,11,1
4-Mar-53,150,"Windsor Locks, Connecticut",Slick Airways,2,2,1
14-Mar-53,?,"Kalasahar, India",Orient Airways,16,16,1
17-Mar-53,?,"Off Da Nang, Vietnam",Aigle Azur,8,8,1
18-Mar-53,410,"Random Island, Newfoundland",Military - U.S. Air Force,23,23,1
18-Mar-53,1951," Stephenville, Newfoundland",u.s. Air Force,10,10,1
20-Mar-53,1838,"Alvarado, California",Transocean Air Lines,35,35,1
27-Mar-53,?,"Itapebi, Brazil",Transportes Aéreos Salvador,14,14,1
29-Mar-53,?,"Mtara, Tanganyika",Central African Airways,13,13,1
10-Apr-53,?,"Miandivazo, Madagascar",Air France,15,4,0.266666667
10-Apr-53,?,"Near Anchieta Island, Brazil",REAL,?,26,#VALUE!
10-Apr-53,?,"Off Kingston, Jamaica",Caribbean International Airways,13,13,1
14-Apr-53,?,"Near Guwahati, India",Airways,3,3,1
14-Apr-53,222,"Selleck, Washington",Miami Airlines,25,7,0.28
16-Apr-53,?,"NW of Hanoi, Vietnam",Aigle Azur,30,30,1
20-Apr-53,2308,"San Francisco Bay, California",Western Airlines,10,8,0.8
2-May-53,1635,"Near Jalalogori, West Bengal, India",British Overseas Airways,43,43,1
7-May-53,?,"Off Hartland Point, England",Military - Royal Air Force,10,10,1
9-May-53,128,"New Delhi, India",Air India,18,18,1
11-May-53,?,"Prince Rupert, BC, Canada",Canadian Pacific Air Lines,19,2,0.105263158
17-May-53,1415,"Near Marshall, Texas",Delta Air Lines,20,19,0.95
24-May-53,418,"St. Louis, Missouri",Meteor Air,7,6,0.857142857
25-May-53,1530,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,34,0,0
27-May-53,350,"Goose Wade, Russia",Aeroflot,20,20,1
14-Jun-53,1635,"Near  Zugdidi, Georgia",Aeroflot,18,18,1
15-Jun-53,?,"San Ramon Mtns., Costa Rica",LACSA,17,9,0.529411765
15-Jun-53,?,"Near Reo Copiapo, Chile",LAN Chile,7,7,1
16-Jun-53,?,"Mount Phou-Lassy, French Indo-China",Aigle Azur,34,34,1
17-Jun-53,2200,"Sao Paulo, Brazil",Panair do Brasil,17,17,1
18-Jun-53,1634,"Tachikawa AFB, Tokyo, Japan",Military - U.S. Air Force,129,129,1
12-Jul-53,841,"Pacific Ocean, 325 miles east of Wake Island",Transocean Air Lines,58,58,1
17-Jul-53,2315,"Near Milton, Florida",Military - U.S. Navy,46,44,0.956521739
27-Jul-53,1230,"Near Kanggye, North Korea",Aeroflot,21,21,1
3-Aug-53,228,"Off Fethiye Point, Turkey",Air France,42,4,0.095238095
3-Aug-53,2237,"Sharjah, United Arab Emirates",Orient Airways,25,1,0.04
5-Aug-53,?,Off Irish coast,Military - U.S. Air Force,23,19,0.826086957
18-Aug-53,?,"Near San Diego, California",Aerovias Contreras,2,2,1
1-Sep-53,2330,"Near Barcelonnette, France",Air France,42,42,1
1-Sep-53,1842,"Vail, Washington",Regina Cargo Airlines,21,21,1
8-Sep-53,1316,"San Andres, Honduras",TACA,3,3,1
14-Sep-53,?,"Chablekal, Mexico",Transportes Aéreos Mexicanos,2,1,0.5
16-Sep-53,834,"Albany, New York",American Airlines,28,28,1
25-Sep-53,1010,"Ankara, Turkey",Devlet Hava Yollari,21,5,0.238095238
28-Sep-53,1618,"Louisville, Kentucky",Resort Airlines,41,25,0.609756098
14-Oct-53,1454,"Frankfurt, Germany",Sabena,44,44,1
17-Oct-53,?,"Lai Chau, Vietnam",Compagnie Sila,7,2,0.285714286
19-Oct-53,56,"New York City, New York",Eastern Air Lines,27,2,0.074074074
19-Oct-53,710,"Near Monterrey, Mexico",Aerovias Contreras,21,21,1
27-Oct-53,1118,"Near Magadan, Russia",Aeroflot,32,22,0.6875
29-Oct-53,844,"Near Half Moon Bay, California",British Commonwealth Pacific Airlines,19,19,1
31-Oct-53,30,"Kharkov. Ukraine, Russia",Aeroflot,16,15,0.9375
3-Nov-53,?,"Tarabuco, Bolivia",Lloyd Aereo Boliviano,28,28,1
11-Nov-53,1730,"Off Argyll, Scotland",Military - Royal Air Force,10,10,1
4-Dec-53,1700,"Near Guaderrama, Spain",Aviaco,33,23,0.696969697
12-Dec-53,325,"Nagpur, India",Indian Airlines,14,13,0.928571429
15-Dec-53,?,"	Tecpan Mt., Guatemala",Aviateca,2,2,1
15-Dec-53,?,"Near Cairo, Egypt",Misair,6,6,1
17-Dec-53,650,"Guam, Mariana Islands",Military - U.S. Air Force,16,11,0.6875
19-Dec-53,1855,"Zurich, Switzerland",Sabena,44,1,0.022727273
21-Dec-53,?,"Dah-el-Kadeeb, Syria",Syrian Airways,15,9,0.6
2-Jan-54,?,"Herat, Afghanistan",Ariana Afghan Airlines,21,21,1
5-Jan-54,?,"Lapseki, Turkey",Devlet Hava Yollari,10,4,0.4
6-Jan-54,1720,"Near Aldbury, England",Military -Royal Air Force,17,16,0.941176471
10-Jan-54,1105,"Off Elba, Italy",British Overseas Airways,35,35,1
11-Jan-54,615,"Manizales, Colombia",AVIANCA,21,21,1
12-Jan-54,1355,"Prague, Czech Republic",Czech Airlines,18,13,0.722222222
13-Jan-54,?,"Signal Hill, California",Military - U.S. Air Force,1,1,1
