date,time,location,operator,aboard,fatalities,f rate
27-Aug-23,?,"Bucharest, Romania",Campagnie France Roumaine,2,2,1
7-Sep-23,?,"Colton, Ohio",US Aerial Mail Service,1,1,1
14-Sep-23,c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,5,5,1
18-Nov-23,?,Russia,CCCP,5,3,0.6
6-Dec-23,?,"Castalia, Ohio",US Aerial Mail Service,1,1,1
23-Dec-23,c 02:30,Over the Mediterranean Sea,Military - French Navy,52,52,1
24-Dec-23,?,"Egbert, WY",US Aerial Mail Service,1,1,1
7-Mar-24,?,"Grampian, Pennsylvania",US Aerial Mail Service,1,1,1
24-Apr-24,?,Over the English Channel,KLM Royal Dutch Airlines,3,3,1
8-Jun-24,?,"Barranquilla, Colombia",SCADTA,5,5,1
1-Aug-24,?,United States,US Aerial Mail Service,1,1,1
6-Nov-24,?,"Cabrerolles, France",Grands Express Aeriens,1,1,1
21-Dec-24,?,"Goshen, Indiana",US Aerial Mail Service,1,1,1
24-Dec-24,c 12:00,"Purley, England",Imperial Airways,8,8,1
22-Mar-25,?,"Near Tiflis, Georgia, USSR",Zakavia,5,5,1
25-Apr-25,?,"Alicante, Spain",Grands Express Aeriens,3,3,1
25-Jun-25,?,"Landrécies, France",KLM Royal Dutch Airlines,4,4,1
26-Jun-25,?,"Alicante, Spain",Grands Express Aeriens,2,2,1
20-Jul-25,?,"Rosas, Spain",Lignes Aeriennes Latecoere,1,1,1
24-Jul-25,?,"Budapest, Hungary",CIDNA,1,1,1
3-Sep-25,530,"Caldwell, Ohio",Military - U.S. Navy,43,14,0.325581395
7-Sep-25,?,"Toul, France",CIDNA,?,?,#VALUE!
1-Oct-25,?,"Mt. Nittany, Ohio",US Aerial Mail Service,1,1,1
14-Nov-25,?,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,1,1,1
14-Nov-25,?,"Off Boulogne-sur-Mer, France",Air Union,2,2,1
12-Feb-26,?,"Montpelier, Ohio",US Aerial Mail Service,1,1,1
8-Mar-26,?,"Staaken, Germany",Deutche Lufthansa,1,1,1
31-May-26,?,English Channel,Air Union,1,1,1
3-Jul-26,?,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,6,6,1
9-Jul-26,930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,2,2,1
24-Jul-26,?,"Juist, Germany",Deutsche Lufthansa,5,5,1
18-Aug-26,?,"Hurst, Kent, England",Air Union,15,3,0.2
26-Sep-26,?,"New York, New York",?,5,2,0.4
2-Oct-26,1527,"Leigh, Kent, Unied Kingdom",Air Union,7,7,1
8-Oct-26,?,"Bueren, Germany",Deutsche Lufthansa,4,4,1
21-Oct-26,c 13:15,English Channel,Imperial Airways,12,0,0
11-Nov-26,800,"Cape Bojador, Morocco",Grands Express Aeriens,3,3,1
16-Dec-26,?,"Medford, Oregon",Pacific Air Transport,1,1,1
12-Jan-27,?,"Estaires, France",Fokker,0,0,#DIV/0!
20-Mar-27,?,"Rabat, Morocco",Grands Express Aeriens,1,1,1
24-Mar-27,?,"Tambo, Qld, Australia",Qantas,3,3,1
15-Apr-27,?,"King Hill, Idaho",Varney Air Lines,1,1,1
22-Apr-27,?,"Floh, Germany",Deutsche Lufthansa,2,2,1
22-Apr-27,?,"Goshen, Indiana",US Aerial Mail Service,1,1,1
2-May-27,?,"Algiers, Algeria",Air Union,3,1,0.333333333
27-Jul-27,?,"Amoneburg, Germany",Deutsche Lufthansa,5,5,1
22-Aug-27,830,"Sevenoaks, England",KLM Royal Dutch Airlines,11,1,0.090909091
3-Sep-27,?,"Willington, Connecticut",Colonial Air Transport,1,1,1
17-Sep-27,?,"Hadley, New Jersey",Reynolds Airways,12,7,0.583333333
17-Sep-27,405,Atlantic Ocean,Private,3,3,1
23-Sep-27,10:00,"Schleiz, Germany",Deutsche Lufthansa,6,6,1
6-Oct-27,?,"Thies, Mauritania",Lignes Aeriennes Latecoere,2,2,1
30-Oct-27,?,"New Brunswick, New Jersey",Colonial Air Transport,4,4,1
8-Nov-27,?,"Strasburg, France",CIDNA,1,1,1
16-Nov-27,?,Over the Gulf of Finland,Aero O-Y,6,6,1
29-Nov-27,?,"Corunna, Indiana",National Air Transport,1,1,1
28-Dec-27,?,"Almeria, Spain",Aeropostale,1,1,1
31-Dec-27,?,"Near Marseille,France",Latecoere Airlines,5,5,1
8-Jan-28,?,"Near Canajoharie, New York",Colonial Western Airlines,3,3,1
16-Jan-28,?,"Solis, Uruguay",Aeropostale,2,2,1
22-Jan-28,?,"L'Hospitalet, Ariège",Aeropostale,1,1,1
22-Jan-28,?,"Tarragona, Spain",Aeropostale,2,2,1
27-Jan-28,?,"Almeria, Spain",Aeropostale,1,1,1
26-Feb-28,?,"Marquette, Nebraska",Boeing Air Transport,2,1,0.5
11-Mar-28,?,"Off Cape Griz Nez, France",Air Union,2,2,1
17-Apr-28,?,"Federal, Wyoming",Boeing Air Transport,2,1,0.5
19-Apr-28,?,"Minuesa, Spain",Iberia Airlines,9,9,1
7-May-28,?,"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,5,1,0.2
12-May-28,?,"Dearborn, Minnesota",Ford Air Freight Inc.,2,2,1
26-May-28,?,"Radevormwald, Germany",Deutsche Lufthansa,5,3,0.6
14-Jun-28,?,"Frankfurt, Germany",Deutsche Lufthansa,5,5,1
22-Jun-28,?,"Lebo, Kansas",National Air Transport,1,1,1
10-Jul-28,?,Over the Gulf of Finland,Aero O-Y,6,6,1
13-Jul-28,?,"Purley, England",Imperial Airways,6,4,0.666666667
24-Jul-28,14:48,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,6,1,0.166666667
25-Aug-28,c 11:00,"Near Port Townsend, BC, Canada",British Columbia Airways,7,7,1
2-Sep-28,c 9:15,"Toul, France",CIDNA,5,5,1
4-Sep-28,?,"Adelaide Hills, Australia",Qantas,2,1,0.5
4-Sep-28,11:30,"Pocatello, Idaho",National Parks Airways,7,7,1
6-Sep-28,?,"Heroldbach, Germany",Deutsche Lufthansa,3,3,1
4-Oct-28,?,"Gerona, Spain",Aeropostale,3,3,1
18-Oct-28,?,"Polk, Pennsylvania",National Air Transport,1,1,1
31-Oct-28,?,"Valence, France",Air Union,2,1,0.5
15-Nov-28,?,Off Gibraltar,Aeropostale,3,1,0.333333333
24-Nov-28,?,"Edgerton, Ohio",Universal Airlines,3,3,1
25-Nov-28,?,"Edgerton, Ohio",Continental Air Lines,1,1,1
25-Nov-28,?,"Bristolville, Ohio",National Air Transport,1,1,1
1-Dec-28,c 10:00,"Spur, Texas",Sunbeam Air Transport Co.,5,5,1
3-Dec-28,8:00,"Near Rio de Janeiro,Brazil",Syndicato Condor,14,14,1
10-Dec-28,10:45,"Spokan, Washington",Spokane Airways,5,5,1
11-Dec-28,?,"Letzlingen, Germany",Deutsche Lufthansa,4,3,0.75
20-Dec-28,?,"Huron, Ohio",National Air Transport,1,1,1
23-Dec-28,?,"Chattanooga, Tennessee",Interstate Airlines,4,4,1
31-Dec-28,?,"Reims, France",CIDNA,3,2,0.666666667
5-Jan-29,?,"Stafford Springs, Connecticut",Colonial Air Transport,1,1,1
18-Jan-29,?,"Cove, Oregon",Varney Air Lines,1,1,1
25-Jan-29,?,"Near Corfu, Greece",Aeroespresso,9,2,0.222222222
31-Jan-29,?,Off Morocco,Aeropostale,2,2,1
31-Jan-29,?,"Morgantown, West Virginia",Skyline Transportation Company,1,1,1
17-Mar-29,1700,"Newark, New Jersey",Colonial Western Airlines,15,14,0.933333333
30-Mar-29,9:18,"Near Beaumont, California",New Standard Airlines,4,4,1
21-Apr-29,1145,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,6,6,1
9-May-29,?,"Tampico, Mexico",Mexicana,5,5,1
18-May-29,?,"Tököl,  Pest Hungary",MALERT,2,2,1
22-May-29,?,Algiers,Aeropostale,6,4,0.666666667
13-Jun-29,800,"Santiago de Cuba, Cuba",Pan American Airways,5,2,0.4
14-Jun-29,?,"Barcelona, Spain",Aeropostale,2,1,0.5
17-Jun-29,1130,"Off Dungeness, England",Imperial Airways,13,7,0.538461538
24-Jun-29,?,"St. Paul, Minnesota",Northwest Orient Airlines,8,1,0.125
29-Jun-29,2100,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,5,5,1
29-Jun-29,?,"Columbus, Ohio",Continental Air Lines,1,1,1
11-Aug-29,?,"Clovis, New Mexico",Middle States Airlines,4,4,1
24-Aug-29,?,"Sochi, Russia",Ukvozduchput,1,1,1
24-Aug-29,?,"Elm, Germany",Deutsche Lufthansa,5,4,0.8
2-Sep-29,?,"Needles, California",Associated Aviators,2,1,0.5
3-Sep-29,1101,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,8,8,1
6-Sep-29,?,"Jask, Iran",Imperial Airways,5,3,0.6
14-Sep-29,?,North Atlantic Ocean,Aeropostale,6,6,1
14-Sep-29,1800,"Saint Catharines, Ontario",Skyways,6,6,1
17-Sep-29,?,"Mt Lamentation, Connecticut",Colonial Air Transport,1,1,1
17-Sep-29,?,"Off Larache, Morocco",Aeropostale,5,5,1
17-Sep-29,?,"Jacumba, California",Pickwick Airways,2,1,0.5
26-Oct-29,1800,"Off Spezia, Italy",Imperial Airways,7,7,1
29-Oct-29,?,"Mount Vernon, Ohio",Continental Air Lines,1,1,1
31-Oct-29,?,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,2,2,1
4-Nov-29,700,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,4,4,1
6-Nov-29,1010,"Near Godstone, Surrey, England",Deutsche Lufthansa,8,7,0.875
16-Nov-29,935,"Off Corsica, France",Air Union,3,3,1
20-Nov-29,?,"Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,12,1,0.083333333
30-Nov-29,?,"Vancouver, Washington",Varney Air Lines,1,1,1
2-Dec-29,?,"Chagrin Falls, Ohio",National Air Transport,1,1,1
19-Dec-29,?,"Near Berlin, Germany",Deutsche Lufthansa,3,2,0.666666667
30-Dec-29,c 17:00,"Amarillo, Texas",Trans Continental Air Transport,5,5,1
2-Jan-30,?,"Off Venice, California",?,10,10,1
10-Jan-30,?,"Brawnson, Nebraska",Boeing Air Transport,1,1,1
13-Jan-30,?,"Antananarivo, Madagascar",Air Orient,3,3,1
19-Jan-30,1823,"Oceanside, California",Maddux Airlines,16,16,1
25-Jan-30,?,"Off Ceuta, Spain",Aeropostale,2,2,1
27-Jan-30,1730,"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),5,5,1
3-Feb-30,?,"Hartford, Connecticut",Colonial Air Transport,1,1,1
10-Feb-30,?,"Marden, England",Air Union,6,2,0.333333333
18-Apr-30,1700,"Jersey City, New Jersey",Canadian Colonial Airways,4,4,1
10-May-30,?,"Buenos Aires, Argentina",Aeropostale,4,3,0.75
5-Jun-30,?,"Boston, Massachusetts",Colonial Air Transport,15,1,0.066666667
7-Jul-30,?,"Bornholm, Denmark",Deutsche Lufthansa,8,5,0.625
10-Jul-30,?,"Arkansas Pass, Texas",Cross Airways,5,5,1
21-Jul-30,1500,"Near Meopham, Kent, England",Walcot Air Line,6,6,1
22-Aug-30,1545,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,11,10,0.909090909
11-Sep-30,?,"Croydon, England",Sabena,2,2,1
25-Sep-30,?,"Edmonton, Alberta, Canada",Western Canada Airways,3,3,1
5-Oct-30,205,"Near Beauvais, France",Military - British Air Ministry,54,48,0.888888889
6-Oct-30,945,"Dresden, Germany",Deutsche Lufthansa,8,8,1
12-Oct-30,?,"La Rache, Morocco",Aeropostale,4,4,1
13-Oct-30,?,"Perth, Australia",Wings Ltd,3,3,1
28-Oct-30,?,"Prince Rupert, BC, Canada",Alaska-Washington Airways,3,3,1
30-Oct-30,?,"Brookston, Indiana",Embry Riddle Company,1,1,1
30-Oct-30,?,"Near Neufchatel, France",Imperial Airways,6,3,0.5
7-Nov-30,?,"Off of Santos, Brazil",Syndicato Condor,9,1,0.111111111
18-Nov-30,200,"Techachapi Mountains, California",Pacific Air Transport,3,3,1
9-Dec-30,?,"Shanghai, China",China National Aviation Corporation,6,4,0.666666667
8-Jan-31,2240,"Melle, Belgium",Sabena,2,2,1
22-Jan-31,?," Bluff Mountain, Washington",Varney Air Lines,1,1,1
8-Feb-31,?,"Wairoa, New Zealand",Dominion Air Lines,3,3,1
20-Feb-31,?,"Bagot, Manitoba, Canada",Western Canada Airways,3,2,0.666666667
24-Feb-31,?,Off Spain,Aeropostale,3,1,0.333333333
21-Mar-31,1300,"New South Wales, Australia",Australian National Airways,8,8,1
31-Mar-31,1045,"Bazaar, Kansas",Trans Continental and Western Air,8,8,1
14-Apr-31,?,"Near Letschen, Germany",Deutsche Lufthansa,10,2,0.2
5-May-31,2330,"Burbank, California",Pacific Air Transport,2,2,1
22-May-31,?,"Wampit, Australia",Guiena Airways,1,1,1
24-May-31,2230,"Bellefonte, Pennsylvania",National Air Transport,1,1,1
