latitude,longitude
38.8967386,-77.0724024
48.6904063,2.373809
39.3642852,-74.4229351
48.4283182,-123.3649533
50.8074825,4.9371775
51.6284395,0.4218142
51.6958889,-0.1848935
50.0012314,8.2762513
-34.9595334,116.8280129
40.6639916,-74.2107006
41.4996574,-81.6936772
40.907199,-77.938042
41.8755616,-87.6244212
45.4384958,10.9924122
54.9738474,-1.6131572
40.78168135,-74.7592328
41.5045465,-85.82410851
40.735657,-74.1723667
40.735657,-74.1723667
40.9354609,-74.66115133
41.2951037,-92.6448451
41.4996574,-81.6936772
10.4266746,-75.5443419
52.1363806,-0.4675041
38.980666,-76.9369189
40.7970382,-74.4809868
41.4108855,-83.46104
39.4697065,-0.3763353
41.8500284,-88.3125738
41.0812698,-105.5091717
51.4893335,-0.144055085
41.3828939,2.1774322
43.8122836,-91.2514355
41.1958128,-115.3272864
-37.9064862,144.7533059
40.734982,-73.5944933
41.4996574,-81.6936772
41.5860557,-109.2194544
43.6044622,1.4442469
53.7124015,-0.3652257
48.8534951,2.3483915
48.8534951,2.3483915
40,-40
49.6647765,1.9428278
51.0791366,1.1841744
53.6323399,10.0233695
36.5297438,-6.2928976
39.7683331,-86.1583502
45.4371908,12.3345898
35.1952327,-6.152913
34.0346534,-5.0161926
41.9263991,8.7376029
41.3828939,2.1774322
41.139981,-104.820246
41.641445,-80.151449
44.4361414,26.1027202
41.4647742,-83.9524442
40.2338211,-84.4096729
41.4000523,-82.8085204
41.1710716,-104.2552567
40.9658932,-78.6130822
11.0101922,-74.82317941
39.7837304,-100.445882
43.5445,3.12514
41.5850394,-85.8344491
51.3388112,-0.1158589
38.3436365,-0.4881708
50.1250142,3.6913023
38.3436365,-0.4881708
42.2632018,3.1755328
47.4978918,19.0401609
39.7478508,-81.5165127
48.6762624,5.8941759
40.6799498,-80.8880137
20.9127045,-17.0503094
50.5147177,1.6374135
41.5844951,-84.6055076
52.5322705,13.1433666
50.4924668,1.054682
50.9510266,4.3085198
53.6784483,6.9956079
51.24725825,0.930633859
40.7127281,-74.0060152
51.5497446,8.573474968
50.4924668,1.054682
26.1233266,-14.5005584
42.3264181,-122.8718605
50.6440257,2.7226506
34.02236,-6.8340222
-24.9071275,146.3312403
44.5204431,-116.3345874
50.77089045,10.49617883
41.5850394,-85.8344491
36.7753606,3.0601882
50.79946485,8.941291795
51.27452185,0.196116556
41.874428,-72.2598935
40.775517,-74.459968
26.0745309,-97.160961
50.5590505,11.8040013
40.4862174,-74.4518173
48.584614,7.7507127
41.4372721,-85.1471934
36.8414197,-2.4628135
-34.7923733,-55.3837161
43.2297425,1.7138034
41.1172364,1.2546057
36.8414197,-2.4628135
41.0070132,-98.0114268
38.88982015,-77.04024449
39.6903253,-4.4273603
44.9189015,-93.3906083
51.2029228,7.3571392
50.1106444,8.6820917
38.4166818,-95.8530441
51.3388112,-0.1158589
51.8921899,4.4406806
48.6762624,5.8941759
-34.90135105,138.8293202
42.8620287,-112.450627
41.9793006,2.8199439
41.3670014,-79.9292233
44.9332277,4.8920811
41.4487184,-84.7480385
41.4487184,-84.7480385
41.3874649,-80.8692679
33.4764767,-100.855685
-22.9026657,-43.0995012
47.6571104,-117.2613936
52.4480374,11.4852603
41.1305303,-82.591828
35.0457219,-85.3094883
49.2577886,4.031926
41.9538665,-72.3040976
45.2965257,-117.807987
31.3947604,-8.7741484
39.6296809,-79.9559437
40.735657,-74.1723667
32.7174202,-117.1627728
22.2157619,-97.8577713
47.3226787,18.9632427
36.7753606,3.0601882
20.0214637,-75.8294928
41.3828939,2.1774322
44.9497487,-93.0931028
39.9622601,-83.0007065
34.405472,-103.2050709
43.5854823,39.723109
52.1615728,10.89483644
34.8383236,-114.603872
25.6436156,57.7745644
40,-40
43.1579812,-79.2441003
41.5973917,-72.7402852
32.61858505,-116.1874664
40.3933956,-82.4857181
20.40446215,-97.28924572
42.6617712,9.2369442
45.6306954,-122.6744557
41.436589,-81.3855058
52.4713975,13.1961032
35.2072185,-101.833824
34.0743044,-118.376178
-18.9100122,47.5255809
33.1958696,-117.3794834
39.100105,-94.5781416
41.764582,-72.6908547
51.30251775,-1.879225638
40.7215682,-74.047455
-34.6075682,-58.4370894
42.3554334,-71.060511
55.1431224,14.92262966
27.6455368,-98.0841975
51.3713049,-0.101957
53.5462055,-113.491241
51.0493286,13.7381437
-31.9558933,115.8605855
54.3126572,-130.32549
40.6028144,-86.8672339
31.2312707,121.4700152
51.00303,3.7988833
46.4553899,-121.898979
-37.7398071,176.0826134
49.968373,-98.6290814
10.6735993,-61.5327094
-31.8759835,147.2869493
38.2719604,-96.5352854
34.1812089,-118.307201
40.9134862,-77.7737471
41.5795195,-83.4924359
49.234362,6.996379
41.8755616,-87.6244212
-34.3830356,147.468586
38.5250491,-89.1334037
39.1014537,-84.5124602
41.8755616,-87.6244212
37.8044557,-122.271356
-10.3333333,-53.2
39.9448402,-75.1198911
-34.1176801,18.910297
40.7596198,-111.886797
36.6671012,117.0192886
46.2306739,-119.0921
41.2455927,-89.9248303
13.7524938,100.4935089
36.6981025,3.0951001
39.9234046,-83.810138
42.1380804,-88.7834283
34.8416435,-118.8648189
25.8143476,-80.1929369
38.1557502,-121.6913439
42.0258779,-85.8155576
38.5852679,-90.2236333
34.0039044,-117.0619774
40.3600714,-80.6151034
41.39311,-81.536509
41.0799898,-85.1386015
34.1812089,-118.307201
45.5202471,-122.674194
33.8959203,35.47843
32.6336265,-97.0780706
51.33525775,-0.064089492
-28.6483333,153.6177778
20.9127045,-17.0503094
-33.6899965,-71.035406
51.3334726,1.4196476
34.7737082,-90.7576112
35.2072185,-101.833824
37.0973771,-108.0930233
-37.5078701,149.9265151
36.7753606,3.0601882
40.735657,-74.1723667
33.9528472,-84.5496148
33.0203441,-97.1473647
44.0505054,-123.0950506
37.6688205,-122.080796
52.2267069,10.71048345
47.8701474,12.6423403
38.0498524,-77.3469994
42.0700662,-87.8114044
38.0580504,25.72156117
35.1439219,-103.4183431
41.6105938,-87.0641992
47.6441521,6.6750345
45.5202471,-122.674194
34.9972037,-106.0494876
36.6671012,117.0192886
41.4361933,-88.7735303
53.550341,10.000654
-28.889191,31.4704425
47.2574315,3.6843003
22.0724145,-14.44524323
40.0117151,-89.8481652
4.8143159,-75.6946778
50.4924668,1.054682
51.3713049,-0.101957
41.9909235,-74.6840456
-34.5934412,-60.9461678
34.1812089,-118.307201
34.8253019,-116.0833144
-12.285251,-41.9294776
29.8622194,121.6203873
39.8870003,-94.892021
50.4924668,1.054682
-34.6786912,150.8539828
6.2135235,-75.5711578
52.4438124,11.5761196
38.951883,-92.3337366
20.2126686,-75.9973941
36.2434093,-84.6699442
24.8701057,67.0888007
40.4416941,-79.9900861
54.07376965,10.77111727
50.947476,12.7638473
31.1272509,33.8045859
49.4300997,2.0823355
51.3955721,8.5677743
39.898646,-92.4810208
55.75828565,37.60436886
43.0161693,-83.6900211
42.502747,-105.026083
